id,type,question,direct_hit,mq_hit,hyde_hit,direct_lat_ms,mq_lat_ms,hyde_lat_ms,direct_refused,mq_refused,hyde_refused,mq_variants,hyde_text
1,fact,GB 50174标准中，冷通道或机柜进风区域的温度应控制在什么范围？,1,1,1,207.1,11146.9,15890.0,,,,根据GB 50174规范，数据中心冷通道及机柜进风口的温度标准范围是多少？ | 机房GB 50174标准对冷通道或机柜进风侧的温度控制要求处于哪个区间？ | 按照GB 50174的规定，机柜进风区域和冷通道的温度应该保持在多少度之间？,依据《数据中心设计规范》（GB 50174-2017）及行业最佳实践，为保障IT设施高可用性并优化PUE能效指标，A级和B级数据中心冷通道或机柜进风区域的基准温度应严格控制在18℃～27℃范围内。同时，相对湿度需维持在20%～80%（无凝结），露点温度上限为17℃。运维规程要求依托DCIM系统进行实
12,process,中国移动白皮书中，智算网络的Scale-Out和Scale-Up分别指什么？,1,1,1,150.5,9535.6,22926.1,,,,在中国移动发布的智算网络白皮书里，Scale-Out与Scale-Up的具体含义是什么？ | 根据中国移动白皮书的定义，智算网络架构中的横向扩展(Scale-Out)和纵向扩展(Scale-Up)代表什么意思？ | 中国移动智算网络白皮书是如何解释和区分Scale-Out与Scale-Up这两个概念的？,依据中国移动智算网络白皮书及数据中心设计规范，Scale-Out（横向扩展）指跨节点/集群的算力互联，依托Spine-Leaf无损网络及RoCEv2/IB协议实现多机协同，保障高SLA与微秒级时延，满足分布式训练需求；Scale-Up（纵向扩展）指单节点内算力聚合，依托NVLink/PCIe等高速总
13,process,华为白皮书将数据中心自动化运行分为哪几个等级？,1,1,1,116.9,10966.6,25425.0,,,,根据华为发布的白皮书，数据中心自动化运维被划分成了哪几个级别？ | 华为在相关白皮书中是如何对数据中心自动化运行等级进行分级的？ | 华为白皮书里定义的数据中心自动化运行具体包含哪几个阶段？,依据相关白皮书及运维规范，数据中心自动化运行能力划分为L0至L5六个演进等级。L0手工运维依赖人工巡检；L1辅助运行引入基础DCIM监控；L2部分自动化实现单系统闭环与PUE基础优化；L3有条件自动化具备跨系统联动与故障自愈，保障核心SLA；L4高度自动化引入AI实现预测性维护；L5完全自治达成无人
14,process,GB/T 2887中停机时机房的温度和相对湿度要求是什么？,1,1,1,144.5,12436.0,15015.4,,,,根据GB/T 2887标准，计算机场地在停止运行状态下的温湿度规定是怎样的？ | GB/T 2887对机房非工作状态下的温度与相对湿度限值有何具体规定？ | 当机房处于停机状态时，GB/T 2887规范中关于环境温度和相对湿度的指标要求是多少？,依据《GB/T 2887 计算机场地通用规范》及数据中心基础设施运维标准，机房在设备停机状态下的环境控制指标需满足特定阈值以保障IT资产物理安全。规范规定，停机时机房环境温度应控制在5℃～35℃，相对湿度保持在20%～80%，且温度变化率应小于5℃/h，严禁结露。运维团队在配置动环监控系统（DCIM
15,process,GB 50174中主机房内搬运设备通道和机柜间距有哪些净宽要求？,1,1,1,111.0,18252.9,189320.7,,,,GB 50174规范对数据中心主机房内的设备搬运通道及机柜间距的净宽度有何具体规定？ | 根据GB50174标准，主机房里机柜之间的间距和搬运设备通道的净宽尺寸要求是什么？ | 《GB 50174》中关于主机房机柜排列间距与设备搬运通道净宽度的标准是怎么要求的？,依据《数据中心设计规范》（GB 50174）及基础设施运维标准，主机房通道与机柜间距净宽需满足设备搬运及冷热通道气流组织要求。规范明确：主机房内用于搬运设备的通道净宽不宜小于1.5m；面对面布置的机柜（冷通道）正面间距净宽不应小于1.2m；背对背布置的机柜（热通道）背面间距净宽不应小于1.0m。当成
16,judge,某计算机机房运行中断会对国家安全造成严重损害，按GB/T 2887应划为哪一级？,1,1,0,134.1,10438.6,22497.3,False,False,True,根据GB/T 2887标准，如果机房停机将严重危害国家安全，该机房应被评定为什么等级？ | 依据GB/T 2887规定，运行中断会严重损害国家安全的计算机机房属于哪个级别？ | 若计算机机房服务中断会导致国家安全受到严重损害，按照GB/T 2887它应该定级为几级？,根据《计算机场地通用规范》（GB/T 2887）及《数据中心设计规范》（GB 50174）的等级划分原则，若机房运行中断将对国家安全、社会秩序或公共利益造成严重损害，该基础设施应划分为A级。A级数据中心具备最高容错能力，其SLA保障、供配电架构（如2N冗余）及制冷系统均需消除单点故障。此类核心节点的
17,judge,按GB/T 2887，A级计算机机房楼板荷重要求是多少，是否高于C级？,1,1,0,202.4,14219.1,18150.1,,,,根据GB/T 2887标准，A级数据中心机房的楼面均布活荷载标准值具体是多少，它比C级机房的承重要求高吗？ | GB/T 2887规范中规定的A级电子信息系统机房楼板承重指标是什么，该要求是否高于C级机房？ | 依据GB/T 2887，A级计算机机房的楼板荷载具体数值是多少，与C级相比其承重标准是否更高？,依据《计算机场地通用规范》（GB/T 2887）及现行《数据中心设计规范》（GB 50174），A级数据中心的楼面均布活荷载标准值通常要求不低于8.0~10.0 kN/m²，以保障高密度机柜及UPS等重型基础设施的部署安全。相较于C级机房，A级机房在建筑结构冗余度、抗震设防及SLA可用性等级上要求更
18,judge,GB/T 2887中节能机房的能效比应满足什么要求？,1,1,0,122.0,12646.7,29444.4,,,,根据GB/T 2887标准，节能型机房的能效比指标需要达到怎样的规定？ | GB/T 2887规范对节能机房的能源效率比值有哪些具体的限值要求？ | 国标GB/T 2887里关于节能数据中心的能效比标准是怎么规定的？,依据GB/T 2887与GB 50174规范，绿色节能机房的电能利用效率（PUE）需严格达标。新建大型数据中心PUE值应≤1.3，改扩建项目≤1.4。在保障IT负载高可用性（SLA）及供配电、制冷基础设施安全的前提下，应通过优化气流组织、引入自然冷源降低非IT能耗。运维期需部署动环监控进行常态化能效
19,judge,按GB/T 2887，开机时A级机房夏季温度要求是多少？,1,1,0,162.5,12277.1,30495.4,,,,根据GB/T 2887标准，A级计算机机房在夏季开机状态下的温度规定是什么？ | GB/T 2887规范中，夏季A级数据中心开机时的环境温度应保持在多少度？ | 依照GB/T 2887，A级机房夏季设备运行时的温度指标具体是多少？,根据《计算机场地通用规范》（GB/T 2887）与《数据中心设计规范》（GB 50174）对A级数据中心基础设施的SLA保障要求，主机房开机时的环境温度需严格受控。针对夏季工况，A级机房冷通道或机柜进风口的基准温度应设定为23℃±1℃（允许范围18℃~27℃）。运维期间需结合精密空调制冷量与气流组织
20,judge,华为白皮书指出数据中心宕机事故中人为操作事故占比约为多少？,1,1,1,144.2,11068.2,22057.9,False,False,False,根据华为发布的白皮书，数据中心宕机事件里由人为操作失误引起的比例大概是多少？ | 华为相关白皮书显示，因人为因素导致的数据中心停机故障在所有事故中约占百分之几？ | 数据中心宕机事故中人为操作引发的占比大约是多少，华为白皮书对此有何数据说明？,依据华为等机构发布的数据中心运维白皮书及故障根因分析（RCA）统计，在数据中心宕机及SLA违约事故中，由人为操作失误（如违规变更、误操作、巡检遗漏等）引发的故障占比通常高达70%至80%。为规避此类风险并保障业务连续性，运维管理须严格遵从GB50174等国标规范，落实标准化作业程序（SOP）与严格的
21,judge,中国移动白皮书提到，RDMA网络在1%丢包时通信吞吐性能会如何变化？,1,1,1,232.9,12488.1,27790.0,,,,根据中国移动白皮书，RDMA网络在1%丢包率下的通信吞吐量会受到什么影响？ | 中国移动白皮书指出，当RDMA网络发生1%丢包时，其吞吐性能的具体变化情况是怎样的？ | 依据中国移动发布的白皮书，1%的丢包环境会导致RDMA网络的通信吞吐性能产生何种改变？,依据《中国移动智算中心网络白皮书》及数据中心无损网络设计规范，RDMA（如RoCEv2）协议对丢包极度敏感。在高标准SLA下，智算网络需实现严格零丢包。监测表明，当丢包率达1%时，受PFC流控及ECN机制触发频繁重传影响，RDMA通信吞吐性能将呈断崖式衰减，有效吞吐量骤降80%至90%以上。故IDC
22,judge,华为白皮书对比铅蓄电池和锂离子电池的寿命，二者分别是多少？,1,1,1,127.5,8575.7,24680.8,,,,根据华为发布的白皮书，铅蓄电池与锂电池的使用寿命各是多少？ | 华为白皮书中提到的铅酸电池和锂离子电池的寿命数据分别是多少？ | 查阅华为白皮书，铅蓄电池和锂离子电池的循环寿命具体数值各为多少？,依据GB50174《数据中心设计规范》及华为数据中心锂电白皮书规范，UPS后备储能选型直接影响SLA保障与TCO。传统铅酸蓄电池（VRLA）设计浮充寿命通常为5至10年，循环寿命约300至500次；而磷酸铁锂电池系统设计浮充寿命达10至15年，80% DOD下循环寿命高达3000至5000次。锂电方
23,judge,华为白皮书提到中国要求2025年新建大型数据中心的PUE低于多少？,1,1,1,140.9,12362.2,46343.4,,,,根据华为发布的白皮书，我国对2025年新建大型数据中心的PUE值设定的上限标准是多少？ | 华为白皮书中指出，2025年中国新建大型数据中心PUE需控制在什么数值以下？ | 按照华为白皮书的内容，国家要求到2025年新建大型数据中心的PUE必须降至哪个具体数值之下？,依据《数据中心设计规范》（GB50174）及华为白皮书的能效指标要求，至2025年，新建大型及以上数据中心的电能利用效率（PUE）须控制在1.3以下，国家枢纽节点需降至1.25内。在保障高可用SLA及IT负载稳定前提下，运维体系应部署液冷、AI温控及高效供配电架构，优化微模块气流组织，确保满足绿色低
24,judge,按GB 50174，新建A级数据中心首层完成面应高出当地百年重现期洪水位线多少？,1,1,1,245.6,12257.0,16516.9,,,,根据GB 50174规范，新建的A级数据中心一层地面标高需要比当地百年一遇洪水位高出多少？ | 依据《数据中心设计规范》GB 50174，当地百年重现期洪水位线与新建A级数据中心首层完成面之间的高差规定是多少？ | 新建A级数据中心的底层完成面应高于当地百年一遇洪水水位线多少距离，这在GB 50174中是如何规定的？,依据《数据中心设计规范》（GB 50174）及基础设施选址规范，新建A级数据中心的场地标高设计须满足严格的防洪排涝标准。其首层室内完成面标高应至少高出当地百年重现期洪水位线0.5米的安全超高，且不得低于区域法定防洪设防标高。该冗余设计旨在规避极端水文气象灾害对底层关键机电设施（如变配电室、冷水机组）
25,judge,GB/T 2887中C级机房开机温度范围与A级相比是更宽还是更窄？具体是多少？,1,1,1,142.8,14884.4,43557.7,,,,根据GB/T 2887标准，C级机房的开机温度区间比A级机房宽还是窄，两者的具体温度数值分别是多少？ | 在GB/T 2887规范里，C级与A级机房的开机温度范围相比是扩大还是缩小了，具体的温度指标是多少？ | GB/T 2887规定的C级数据中心开机温度具体是多少度，它跟A级机房的温度范围比起来哪个更宽？,依据GB/T 2887《计算机场地通用规范》及数据中心运维标准，C级机房开机温度容限较A级更为宽泛。A级机房为保障高SLA及业务连续性，开机温度严控在22±2℃（或18~27℃）的窄区间；而C级机房允许范围拓宽至10~35℃。日常运维需结合GB 50174规范与PUE优化目标，依托精密空调实施差异化
26,unanswerable,数据中心运维人员每年的带薪年假有多少天？,0,0,0,117.1,8888.1,19815.9,True,True,True,IDC运维工程师一年能休几天带薪年假？ | 从事数据中心维护工作的员工每年享有几天的带薪休假？ | 机房IT运维岗位的年度带薪年假天数标准是多少？,依据GB50174-2017《数据中心设计规范》及《数据中心基础设施运行维护标准》，A级/B级数据中心的运维排班需严格保障7×24小时SLA服务等级。运维人员的带薪年假通常遵照国家法定标准（5至15天），但在实际运维手册与运营管理白皮书中，为确保PUE持续优化、应急演练及故障响应不受休假影响，企业需
27,unanswerable,机房门禁系统的管理员登录密码应该设置成什么？,0,0,0,207.5,12898.6,14115.6,True,True,True,数据中心门禁管理后台的管理员密码应该遵循哪些设置规范？ | 服务器房间出入控制系统的超级用户认证口令通常建议配置成什么样？ | 配置机房出入管理平台的admin账号登入密码时有哪些具体要求？,根据《数据中心设计规范》（GB50174）及等保2.0物理安全要求，机房门禁系统管理员密码严禁使用默认或弱口令。应执行强密码策略，包含大小写字母、数字及特殊字符，长度不少于12位，并定期强制轮换。最高权限凭证应由安全管理员专人保管，落实权限分离与双人授权机制。认证与审计日志需满足至少180天留存要求
28,unanswerable,购买一台戴尔R750服务器现在的市场报价是多少钱？,0,0,0,277.2,10708.0,25647.7,True,True,True,当前戴尔PowerEdge R750服务器的最新市场售价大概是多少？ | 现在采购一台Dell R750服务器通常需要花多少钱？ | 目前入手一台戴尔R750机架式服务器的行情报价在什么范围？,关于戴尔R750机架式服务器的采购报价，需结合IT资产配置标准与总体拥有成本（TCO）进行评估。依据GB50174《数据中心设计规范》，该2U设备的引入需核算单机柜功率密度及对PUE指标的影响。当前市场CAPEX基准报价受配置波动影响，需结合供应商SLA承诺进行动态测算。建议参照IT硬件集采白皮书，
29,unanswerable,今天北京的天气怎么样，适合去机房巡检吗？,0,0,0,199.9,9454.7,24890.8,True,True,True,北京今日气候如何，会不会影响外出进行机房巡检？ | 打算今天去北京机房做巡检，现在的天气条件允许吗？ | 查一下北京今天的气象状况，看看适不适合开展机房巡查工作。,依据《数据中心设计规范》（GB50174）及运维管理体系，外部气象条件对冷源系统运行及PUE指标影响显著。针对北京当日气象环境，运维团队需结合动环监控系统（DCIM），评估室外温湿度对自然冷却效率的干预程度。执行机房日常巡检时，应严格遵循SLA协议及标准化SOP，重点核查精密空调室外机、新风系统及防
30,unanswerable,数据中心食堂今天午餐供应什么菜？,0,0,0,195.7,8395.4,26894.5,True,True,True,今天中午数据中心餐厅的菜单有哪些菜品？ | 数据中心食堂午饭都提供哪些饭菜？ | 请问今日数据中心员工食堂中午做什么吃的？,依据《数据中心设计规范》（GB50174）及IDC运维管理手册，园区餐饮服务（含食堂午餐供应）不属于基础设施运维的标准范畴。本团队核心职责为保障机房温湿度、UPS供电连续性、制冷系统PUE优化及核心业务SLA达标。关于辅助区（如餐厅）的配餐计划，请查阅行政部发布的《后勤服务SLA及菜单公示》。运维人
